note, finger
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 0
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 2
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 0
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
64, 0
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 0
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
64, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 2
69, 2
67, 1
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 2
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 2
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 4
72, 4
71, 3
69, 2
67, 0
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 2
64, 2
62, 0
60, 0
64, 0
67, 0
