note, finger
60, 0
62, 1
67, 4
64, 2
62, 1
64, 2
65, 0
67, 1
69, 2
72, 4
71, 3
67, 1
65, 0
67, 1
69, 2
71, 0
72, 1
76, 3
74, 2
72, 1
77, 4
76, 3
72, 1
74, 2
74, 2
76, 2
74, 2
72, 1
72, 1
71, 0
69, 2
67, 1
65, 3
64, 3
60, 1
62, 2
59, 0
60, 1
62, 2
64, 0
65, 1
67, 2
71, 4
69, 3
65, 1
64, 0
64, 0
65, 1
67, 2
69, 0
71, 1
72, 2
74, 3
76, 4
71, 1
72, 0
74, 1
79, 4
74, 1
77, 3
76, 2
72, 0
79, 4
72, 0
79, 4
72, 0
71, 1
72, 0
74, 0
72, 1
71, 1
72, 0
74, 1
72, 1
71, 1
69, 0
71, 1
72, 2
74, 3
71, 1
76, 4
76, 4
74, 3
72, 2
71, 1
69, 0
67, 2
65, 1
64, 2
62, 2
60, 1
62, 2
59, 0
60, 1
62, 2
64, 0
65, 1
67, 2
69, 3
71, 1
72, 1
74, 2
76, 3
77, 0
79, 1
84, 4
83, 3
79, 1
81, 2
77, 0
76, 1
77, 0
79, 2
81, 2
79, 1
77, 1
76, 1
74, 0
72, 1
74, 0
76, 1
77, 2
79, 3
76, 1
79, 2
77, 2
74, 0
72, 2
71, 0
69, 0
71, 1
72, 2
74, 3
76, 4
71, 1
76, 4
74, 3
72, 2
69, 2
72, 2
69, 0
67, 1
69, 0
72, 0
71, 0
69, 0
76, 4
71, 1
74, 3
72, 2
69, 2
67, 2
65, 1
64, 0
65, 1
67, 2
67, 2
69, 2
67, 2
64, 0
67, 2
64, 4
71, 4
65, 1
69, 3
67, 2
64, 0
62, 0
60, 0
62, 1
64, 2
65, 3
62, 1
67, 4
62, 1
67, 4
65, 3
62, 1
64, 2
60, 0
60, 0
67, 4
64, 2
67, 4
60, 4
67, 4
64, 2
67, 4
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
72, 4
65, 0
72, 4
69, 2
72, 4
65, 4
72, 4
67, 1
71, 3
69, 2
67, 1
65, 2
64, 2
62, 1
60, 0
67, 4
64, 2
67, 4
60, 0
67, 4
64, 2
67, 4
62, 1
64, 2
65, 3
67, 0
69, 1
71, 2
72, 3
74, 1
76, 1
79, 3
81, 4
76, 1
74, 0
79, 3
77, 2
76, 1
79, 3
76, 1
81, 4
76, 1
79, 3
74, 0
77, 2
76, 1
74, 2
72, 2
71, 1
72, 0
69, 0
74, 3
69, 4
76, 4
71, 1
74, 3
72, 2
71, 1
69, 0
67, 3
65, 2
64, 1
62, 0
60, 1
62, 0
64, 1
65, 2
62, 0
67, 3
62, 0
69, 4
67, 4
62, 0
69, 3
62, 0
67, 3
62, 0
65, 2
64, 1
67, 3
65, 2
62, 0
64, 1
62, 1
60, 1
59, 0
60, 1
62, 2
64, 0
65, 1
67, 2
69, 0
71, 1
72, 2
74, 0
76, 1
77, 2
79, 3
81, 4
76, 1
79, 3
77, 2
79, 0
81, 0
83, 1
84, 2
84, 2
83, 1
84, 2
81, 0
84, 2
83, 1
81, 2
79, 2
77, 1
76, 0
81, 3
77, 1
79, 2
76, 0
74, 2
72, 1
71, 2
69, 2
67, 1
65, 0
71, 2
69, 2
67, 1
72, 4
71, 3
67, 1
69, 2
65, 0
67, 1
65, 2
64, 2
62, 1
60, 0
