note, finger
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 2
81, 2
79, 1
77, 0
76, 2
74, 0
72, 0
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 2
81, 2
79, 1
77, 0
76, 2
74, 1
72, 3
71, 2
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 1
74, 1
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 2
81, 2
79, 1
77, 0
76, 2
74, 0
72, 0
71, 3
69, 2
67, 1
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 2
81, 2
83, 3
84, 4
83, 2
81, 2
79, 0
77, 0
76, 2
74, 0
72, 0
71, 2
69, 0
67, 3
65, 3
64, 2
62, 0
60, 0
62, 1
64, 2
65, 3
67, 0
69, 0
69, 1
71, 2
72, 3
74, 0
76, 1
77, 2
79, 3
81, 0
83, 1
84, 2
83, 1
81, 3
79, 3
77, 2
76, 1
74, 0
72, 2
71, 1
69, 3
67, 3
65, 2
64, 1
62, 0
60, 1
62, 1
64, 1
65, 2
67, 0
69, 1
71, 2
72, 0
74, 2
76, 2
77, 0
79, 1
81, 2
83, 3
84, 4
83, 2
81, 2
79, 1
77, 2
76, 2
74, 0
72, 3
71, 2
69, 2
67, 0
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 2
69, 2
71, 3
72, 0
74, 1
76, 2
77, 0
79, 2
81, 2
83, 3
84, 4
81, 2
83, 3
79, 1
81, 2
77, 2
76, 2
74, 1
72, 0
71, 3
69, 2
67, 0
65, 0
64, 2
62, 0
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 0
72, 1
74, 2
76, 0
77, 1
79, 2
81, 3
83, 4
81, 2
79, 2
77, 1
76, 2
74, 2
72, 1
71, 3
69, 3
67, 2
65, 1
64, 0
62, 1
60, 0
